"V1","V2","V3","V4","V5"
0.724,0.75,0.572,0.658,0.686
0.724,0.756,0.684,0.738,0.778
0.724,0.754,0.76,0.776,0.788
0.724,0.754,0.76,0.792,0.792
0.732,0.758,0.76,0.794,0.794
0.732,0.756,0.76,0.798,0.794
0.732,0.756,0.77,0.794,0.796
0.732,0.756,0.768,0.798,0.796
0.732,0.756,0.768,0.794,0.802
0.732,0.758,0.768,0.8,0.796
0.768,0.774,0.784,0.768,0.792
0.758,0.782,0.78,0.79,0.788
0.756,0.78,0.784,0.782,0.796
0.768,0.776,0.796,0.788,0.8
0.758,0.776,0.796,0.782,0.808
0.768,0.776,0.79,0.79,0.804
0.756,0.786,0.794,0.78,0.8
0.768,0.776,0.796,0.778,0.808
0.768,0.776,0.79,0.78,0.8
0.768,0.784,0.784,0.786,0.806
0.756,0.778,0.768,0.782,0.772
0.764,0.778,0.768,0.772,0.77
0.768,0.782,0.768,0.778,0.774
0.76,0.788,0.77,0.778,0.784
0.76,0.788,0.778,0.772,0.78
0.76,0.79,0.794,0.764,0.778
0.76,0.778,0.792,0.768,0.784
0.76,0.786,0.796,0.766,0.784
0.76,0.788,0.788,0.768,0.786
0.76,0.786,0.792,0.766,0.792
0.772,0.758,0.778,0.76,0.83
0.774,0.764,0.774,0.76,0.83
0.772,0.762,0.78,0.76,0.83
0.774,0.768,0.766,0.77,0.838
0.772,0.766,0.764,0.768,0.838
0.772,0.764,0.784,0.766,0.846
0.772,0.764,0.766,0.774,0.838
0.772,0.766,0.784,0.776,0.834
0.772,0.774,0.786,0.79,0.838
0.772,0.756,0.782,0.788,0.834
0.744,0.772,0.8,0.792,0.792
0.744,0.786,0.79,0.782,0.794
0.746,0.768,0.792,0.77,0.792
0.746,0.788,0.8,0.778,0.798
0.744,0.786,0.802,0.788,0.796
0.744,0.774,0.804,0.784,0.794
0.744,0.782,0.804,0.794,0.796
0.744,0.766,0.798,0.794,0.798
0.744,0.77,0.802,0.794,0.792
0.746,0.768,0.804,0.786,0.798
0.806,0.778,0.802,0.804,0.794
0.802,0.774,0.802,0.806,0.788
0.804,0.778,0.812,0.804,0.794
0.806,0.78,0.802,0.8,0.796
0.802,0.78,0.802,0.8,0.798
0.802,0.782,0.792,0.802,0.798
0.802,0.774,0.794,0.804,0.798
0.8,0.78,0.794,0.8,0.794
0.802,0.784,0.79,0.818,0.8
0.8,0.788,0.79,0.814,0.804
0.738,0.772,0.822,0.77,0.788
0.746,0.78,0.82,0.766,0.786
0.74,0.776,0.828,0.77,0.792
0.748,0.782,0.826,0.776,0.792
0.744,0.766,0.822,0.77,0.796
0.738,0.772,0.826,0.77,0.8
0.74,0.766,0.826,0.77,0.802
0.742,0.77,0.834,0.77,0.804
0.738,0.772,0.82,0.77,0.804
0.742,0.784,0.82,0.77,0.802
0.768,0.762,0.816,0.792,0.854
0.768,0.768,0.84,0.802,0.85
0.768,0.782,0.834,0.798,0.856
0.768,0.784,0.844,0.8,0.854
0.77,0.796,0.836,0.798,0.83
0.77,0.774,0.826,0.804,0.826
0.768,0.76,0.832,0.798,0.832
0.768,0.764,0.836,0.804,0.832
0.768,0.762,0.85,0.812,0.834
0.774,0.76,0.822,0.812,0.838
0.786,0.77,0.788,0.796,0.796
0.778,0.772,0.788,0.802,0.796
0.786,0.766,0.804,0.814,0.796
0.776,0.772,0.802,0.804,0.806
0.776,0.774,0.802,0.808,0.798
0.776,0.768,0.792,0.818,0.804
0.78,0.768,0.794,0.816,0.8
0.778,0.768,0.794,0.814,0.804
0.778,0.77,0.798,0.814,0.794
0.78,0.77,0.796,0.816,0.794
0.764,0.768,0.804,0.818,0.81
0.756,0.77,0.812,0.816,0.808
0.752,0.776,0.81,0.822,0.814
0.754,0.78,0.822,0.82,0.814
0.752,0.772,0.81,0.82,0.814
0.76,0.778,0.804,0.822,0.814
0.764,0.77,0.814,0.824,0.82
0.77,0.772,0.81,0.82,0.83
0.762,0.76,0.81,0.82,0.844
0.758,0.764,0.808,0.82,0.83
0.774,0.794,0.818,0.778,0.798
0.774,0.79,0.816,0.782,0.804
0.774,0.796,0.804,0.778,0.796
0.774,0.788,0.806,0.782,0.796
0.774,0.808,0.802,0.784,0.798
0.768,0.798,0.802,0.786,0.798
0.764,0.8,0.798,0.782,0.8
0.774,0.792,0.808,0.786,0.796
0.774,0.794,0.808,0.782,0.796
0.768,0.792,0.824,0.784,0.806
0.768,0.774,0.834,0.818,0.836
0.768,0.778,0.836,0.818,0.834
0.768,0.774,0.83,0.82,0.836
0.768,0.764,0.834,0.82,0.828
0.772,0.764,0.834,0.818,0.828
0.776,0.772,0.834,0.816,0.836
0.768,0.784,0.836,0.822,0.826
0.77,0.782,0.834,0.822,0.828
0.778,0.776,0.836,0.822,0.822
0.774,0.776,0.836,0.828,0.82
0.768,0.798,0.798,0.804,0.788
0.768,0.8,0.81,0.79,0.79
0.78,0.806,0.808,0.792,0.792
0.762,0.806,0.804,0.788,0.796
0.766,0.808,0.802,0.792,0.802
0.762,0.8,0.794,0.78,0.81
0.768,0.79,0.784,0.78,0.808
0.776,0.8,0.804,0.79,0.806
0.77,0.802,0.796,0.794,0.794
0.76,0.814,0.798,0.792,0.794
0.758,0.818,0.794,0.82,0.788
0.758,0.81,0.792,0.82,0.778
0.758,0.806,0.794,0.82,0.782
0.756,0.802,0.79,0.822,0.788
0.758,0.794,0.79,0.836,0.792
0.76,0.796,0.788,0.834,0.792
0.758,0.788,0.792,0.826,0.792
0.758,0.792,0.794,0.832,0.788
0.758,0.79,0.792,0.832,0.79
0.758,0.784,0.796,0.824,0.792
0.754,0.782,0.802,0.784,0.794
0.754,0.778,0.802,0.782,0.792
0.754,0.776,0.806,0.776,0.798
0.754,0.782,0.81,0.774,0.784
0.754,0.788,0.812,0.788,0.788
0.754,0.782,0.814,0.786,0.782
0.754,0.794,0.814,0.788,0.784
0.754,0.79,0.812,0.788,0.782
0.754,0.782,0.812,0.78,0.782
0.754,0.772,0.802,0.78,0.786
0.746,0.772,0.82,0.8,0.788
0.746,0.768,0.814,0.8,0.798
0.746,0.772,0.818,0.798,0.796
0.746,0.766,0.814,0.8,0.79
0.746,0.766,0.814,0.796,0.78
0.746,0.762,0.814,0.796,0.79
0.746,0.754,0.814,0.796,0.788
0.746,0.764,0.812,0.798,0.786
0.746,0.774,0.814,0.798,0.78
0.746,0.774,0.818,0.796,0.782
0.774,0.78,0.824,0.81,0.8
0.77,0.782,0.816,0.812,0.802
0.77,0.78,0.814,0.812,0.804
0.77,0.784,0.816,0.816,0.806
0.77,0.79,0.824,0.812,0.806
0.77,0.784,0.814,0.81,0.806
0.77,0.784,0.812,0.802,0.81
0.77,0.782,0.816,0.796,0.81
0.77,0.79,0.822,0.794,0.796
0.77,0.79,0.828,0.798,0.796
0.732,0.794,0.824,0.786,0.816
0.736,0.802,0.824,0.784,0.82
0.734,0.8,0.812,0.786,0.814
0.74,0.8,0.81,0.786,0.814
0.732,0.788,0.808,0.79,0.818
0.732,0.796,0.81,0.788,0.818
0.732,0.798,0.812,0.784,0.82
0.732,0.802,0.81,0.784,0.82
0.732,0.794,0.81,0.782,0.812
0.732,0.804,0.812,0.786,0.808
0.754,0.776,0.818,0.804,0.81
0.758,0.766,0.818,0.804,0.812
0.758,0.774,0.816,0.804,0.804
0.758,0.77,0.81,0.802,0.802
0.756,0.772,0.81,0.804,0.812
0.754,0.772,0.812,0.8,0.812
0.754,0.784,0.818,0.8,0.808
0.758,0.786,0.812,0.802,0.808
0.758,0.78,0.818,0.806,0.804
0.758,0.78,0.808,0.812,0.8
0.772,0.768,0.818,0.794,0.81
0.772,0.77,0.822,0.79,0.816
0.772,0.762,0.808,0.794,0.816
0.77,0.764,0.83,0.796,0.822
0.772,0.764,0.808,0.796,0.824
0.77,0.764,0.792,0.798,0.828
0.77,0.764,0.792,0.794,0.828
0.77,0.764,0.804,0.798,0.82
0.77,0.77,0.808,0.8,0.824
0.772,0.768,0.82,0.794,0.822
0.776,0.772,0.852,0.81,0.808
0.776,0.774,0.852,0.808,0.798
0.776,0.77,0.85,0.808,0.804
0.776,0.76,0.842,0.808,0.802
0.776,0.758,0.844,0.812,0.804
0.772,0.758,0.844,0.808,0.8
0.772,0.758,0.846,0.808,0.794
0.772,0.774,0.848,0.806,0.798
0.772,0.76,0.848,0.808,0.794
0.772,0.768,0.848,0.81,0.796
0.732,0.794,0.81,0.81,0.78
0.732,0.794,0.814,0.806,0.782
0.732,0.792,0.808,0.81,0.77
0.734,0.792,0.804,0.802,0.786
0.734,0.794,0.808,0.804,0.782
0.734,0.792,0.812,0.794,0.786
0.734,0.798,0.82,0.796,0.788
0.734,0.796,0.82,0.792,0.79
0.732,0.792,0.816,0.794,0.79
0.732,0.794,0.814,0.798,0.776
0.734,0.756,0.804,0.824,0.784
0.734,0.752,0.814,0.824,0.79
0.738,0.756,0.816,0.826,0.786
0.738,0.758,0.8,0.826,0.79
0.738,0.762,0.798,0.828,0.786
0.738,0.762,0.802,0.826,0.784
0.74,0.756,0.798,0.826,0.794
0.746,0.762,0.802,0.826,0.79
0.738,0.748,0.802,0.826,0.788
0.74,0.744,0.802,0.828,0.782
0.782,0.752,0.814,0.8,0.798
0.78,0.77,0.818,0.802,0.8
0.778,0.764,0.82,0.802,0.794
0.788,0.77,0.818,0.8,0.798
0.786,0.774,0.814,0.79,0.806
0.78,0.782,0.818,0.786,0.806
0.78,0.772,0.808,0.79,0.804
0.772,0.774,0.814,0.8,0.804
0.778,0.772,0.814,0.806,0.804
0.78,0.772,0.816,0.8,0.802
0.76,0.768,0.808,0.822,0.812
0.756,0.776,0.808,0.826,0.818
0.754,0.766,0.806,0.824,0.82
0.756,0.766,0.808,0.83,0.824
0.758,0.778,0.81,0.83,0.822
0.752,0.772,0.812,0.826,0.822
0.752,0.776,0.81,0.828,0.824
0.752,0.772,0.812,0.82,0.816
0.752,0.78,0.816,0.828,0.814
0.752,0.772,0.818,0.826,0.826
0.778,0.77,0.822,0.81,0.768
0.778,0.758,0.824,0.81,0.772
0.778,0.764,0.812,0.812,0.774
0.778,0.76,0.822,0.812,0.766
0.778,0.772,0.816,0.806,0.77
